F01: holographic map | kinetic sculpture | brushed silver | sky blue | white  
F02: rotating wall | spotlights | moss | sage green | bright white  
F03: AI prompt wall | operator pen | brass | charcoal | paper-white  
F04: living wall | terracotta pots | white | soft green | terracotta  
F05: soundproof pods | quiet ring | soft gray | pastel blue | terracotta  
F06: tiered seating | debate platform | warm taupe | terracotta | oak  
F07: modular tables | movable whiteboards | soft yellow | lavender | white  
F08: student desks | whiteboards | oak | violet | beige  
F09: writable surfaces | ideation pit | ocean teal | muted tangerine | paper-white  
F10: VR chamber | hidden RGB | black | neon green | charcoal  
F11: art printer | display loop | magenta | cyan | white
